Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
343191;1000390865757332800;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.009, -0.055, 0.998);(0.000, 0.000, 0.000);VALID;(0.025, -0.094, 0.995);(-0.032, 0.000, 0.000);0.1953165;VALID;(-0.007, -0.015, 1.000);(0.032, 0.000, 0.000);0.2189348;0.2851578;0
343192;1000390865767463800;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.009, -0.054, 0.998);(0.000, 0.000, 0.000);VALID;(0.026, -0.094, 0.995);(-0.032, 0.000, 0.000);0.1953239;VALID;(-0.007, -0.013, 1.000);(0.032, 0.000, 0.000);0.2189663;0.2790288;0
343193;1000390865777474100;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.010, -0.054, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.094, 0.995);(-0.032, 0.000, 0.000);0.1961585;VALID;(-0.007, -0.012, 1.000);(0.032, 0.000, 0.000);0.2186042;0.2781511;0
343194;1000390865787473300;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.010, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.094, 0.995);(-0.032, 0.000, 0.000);0.1962746;VALID;(-0.008, -0.011, 1.000);(0.032, 0.000, 0.000);0.2185416;0.2776926;0
343195;1000390865797466400;63759448349945;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.009, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.093, 0.995);(-0.032, 0.000, 0.000);0.1960451;VALID;(-0.008, -0.011, 1.000);(0.032, 0.000, 0.000);0.2184779;0.2790319;0
343196;1000390865807545400;63759448349958;(0.256, 1.142, -1.007);(0.029, 0.228, -0.020, 0.973);VALID;(0.008, -0.052, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.093, 0.995);(-0.032, 0.000, 0.000);0.1959353;VALID;(-0.011, -0.011, 1.000);(0.032, 0.000, 0.000);0.2183692;0.2928324;0.08920886
343197;1000390865817448900;63759448349958;(0.256, 1.142, -1.007);(0.029, 0.228, -0.020, 0.973);VALID;(0.007, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.093, 0.995);(-0.032, 0.000, 0.000);0.1957274;VALID;(-0.014, -0.011, 1.000);(0.032, 0.000, 0.000);0.2182229;0.3107432;0.4003364
343198;1000390865827581400;63759448349976;(0.256, 1.142, -1.007);(0.030, 0.228, -0.021, 0.973);VALID;(0.007, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.093, 0.995);(-0.032, 0.000, 0.000);0.1956987;VALID;(-0.017, -0.012, 1.000);(0.032, 0.000, 0.000);0.2181099;0.3302138;0.4343115
343199;1000390865837602600;63759448349992;(0.256, 1.142, -1.007);(0.030, 0.227, -0.021, 0.973);VALID;(0.006, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.093, 0.995);(-0.032, 0.000, 0.000);0.195621;VALID;(-0.017, -0.012, 1.000);(0.032, 0.000, 0.000);0.218009;0.3290556;0.3786393
343200;1000390865847579700;63759448349992;(0.256, 1.142, -1.007);(0.030, 0.227, -0.021, 0.973);VALID;(0.006, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.093, 0.995);(-0.032, 0.000, 0.000);0.1954388;VALID;(-0.018, -0.012, 1.000);(0.032, 0.000, 0.000);0.2179195;0.3387046;0.2873997
343201;1000390865857628500;63759448350009;(0.256, 1.142, -1.007);(0.030, 0.228, -0.022, 0.973);VALID;(0.006, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.093, 0.995);(-0.032, 0.000, 0.000);0.1955547;VALID;(-0.018, -0.012, 1.000);(0.032, 0.000, 0.000);0.2178249;0.3393728;0.1905716
343202;1000390865867591900;63759448350009;(0.256, 1.142, -1.007);(0.030, 0.228, -0.022, 0.973);VALID;(0.005, -0.053, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.093, 0.995);(-0.032, 0.000, 0.000);0.195932;VALID;(-0.018, -0.012, 1.000);(0.032, 0.000, 0.000);0.2177004;0.3388061;0.1834048
343203;1000390865877589700;63759448350024;(0.256, 1.142, -1.007);(0.030, 0.228, -0.022, 0.973);VALID;(0.005, -0.051, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.089, 0.996);(-0.032, 0.000, 0.000);0.2017682;VALID;(-0.018, -0.012, 1.000);(0.032, 0.000, 0.000);0.2175374;0.3634497;0.01075318
343204;1000390865887601800;63759448350042;(0.256, 1.142, -1.008);(0.030, 0.228, -0.023, 0.973);VALID;(0.004, -0.048, 0.999);(0.000, 0.000, 0.000);VALID;(0.024, -0.079, 0.997);(-0.032, 0.000, 0.000);0.2126752;VALID;(-0.017, -0.013, 1.000);(0.032, 0.000, 0.000);0.2174089;0.4371698;0
343205;1000390865897708400;63759448350042;(0.256, 1.142, -1.008);(0.030, 0.228, -0.023, 0.973);VALID;(0.003, -0.045, 0.999);(0.000, 0.000, 0.000);VALID;(0.022, -0.071, 0.997);(-0.032, 0.000, 0.000);0.2106802;VALID;(-0.017, -0.013, 1.000);(0.032, 0.000, 0.000);0.2175246;0.5132562;0
343206;1000390865907717600;63759448350061;(0.256, 1.142, -1.008);(0.030, 0.229, -0.023, 0.973);VALID;(0.002, -0.042, 0.999);(0.000, 0.000, 0.000);VALID;(0.020, -0.065, 0.998);(-0.032, 0.000, 0.000);0.2101596;VALID;(-0.017, -0.013, 1.000);(0.032, 0.000, 0.000);0.2173374;0.5823174;0
343207;1000390865917694200;63759448350062;(0.256, 1.142, -1.008);(0.030, 0.229, -0.023, 0.973);VALID;(0.002, -0.040, 0.999);(0.000, 0.000, 0.000);VALID;(0.019, -0.062, 0.998);(-0.032, 0.000, 0.000);0.2090016;VALID;(-0.016, -0.013, 1.000);(0.032, 0.000, 0.000);0.2172605;0.6234481;0.007726326
